Internal EAN/GTIN,External EAN/GTIN,Internal Product Name,Internal Brand,Internal Category,External Product Name,External Brand,External Category,Internal Price,External Price,Scenario Match (EAN or fallback),Score,Confidence,Tier,Match Reasons,Name Score,Brand Score,Category Score,Price Score,Price Difference %

4,2222,8717447626237,1387174471057,Capota Ventilada Bugaboo Fox 5 y Cameleon,BUGABOO,Moombs,Capota Ventilada Bugaboo Fox y Cameleon 2022,Bugaboo,Accesorios para cochecitos,99.95,48,FALLBACK_ALGORITHM,0.55,55,low,✓ Ready for sequential cascade matching; name_sem:0.82; brand:exact; category:cross-dept; sale_relax; price:diff-70%; cross_dept; cross_dept_cap_55,81.8,100,0,20,70.2,2025-09-03T07:01:43.685Z
9,1838,8420421006818,8421006818,Manoplas para Sillas de Paseo de Jane,JANE,Moombs,Manoplas para Sillas de Paseo de Jane,Jané,Pasear,27.95,179.95,FALLBACK_ALGORITHM,0.53,53,low,✓ Ready for sequential cascade matching; name_sem:1.00; brand:conflict; category:cross-dept; sale_relax; price:diff-146%; brand_conflict; cross_dept,100,0,0,20,146.2,2025-09-03T07:01:57.199Z
10,7000,8717447034131,,BGB BUGABOO DONKEY ADAPTADOR SILLAS DE COCHE BRITAX-ROMER® MONO,BUGABOO,All,Bugaboo Donkey gemelar Adaptador para sillas de coche Maxi-Cosi,Bugaboo,Comer,53.68,41.8,FALLBACK_ALGORITHM,0.51,50.6,low,✓ Ready for sequential cascade matching; name_sem:0.43; brand:exact; category:cross-dept; sale_relax; price:within-25%; cross_dept,43.2,100,0,60,24.9,2025-09-03T07:01:59.082Z
16,3042,8420421087183,8420421087183,JN BASIC BEDRAIL 90 CM,JANE,All,Barrera cama Jané Bed Rails Basic 90 cm,Jané,Dormir,24.75,0,EAN_EXACT,1,100,high,✓ Ready for sequential cascade matching; gtin_exact_match,100,100,100,100,0,2025-09-03T07:02:09.523Z
17,959,8420421089262,8420421089262,JN BACKPACKDIM GREY,JANE,All,Mochila Jané Backpack,Jané,Pasear,35.5,819.9,EAN_EXACT,1,100,high,✓ Ready for sequential cascade matching; gtin_exact_match,100,100,100,100,183.4,2025-09-03T07:02:11.996Z
19,2074,4063846149919,1340638461499,Cybex Priam Bolso Cambiador Shopper,CYBEX,Moombs,Cybex Priam Bolso Cambiador Shopper,Cybex,Comer,179.95,357,FALLBACK_ALGORITHM,0.55,55,low,✓ Ready for sequential cascade matching; name_sem:1.00; brand:exact; category:cross-dept; sale_relax; price:diff-66%; cross_dept; cross_dept_cap_55,100,100,0,20,65.9,2025-09-03T07:02:16.796Z
19,2456,4063846149919,1340585119568,Cybex Priam Bolso Cambiador Shopper,CYBEX,Moombs,Cybex Priam Bolso Cambiador 2021,Cybex,Pasear,179.95,19.24,FALLBACK_ALGORITHM,0.55,55,low,✓ Ready for sequential cascade matching; name_sem:0.70; brand:exact; category:cross-dept; sale_relax; price:diff-161%; cross_dept; cross_dept_cap_55,70.3,100,0,20,161.4,2025-09-03T07:02:16.800Z
19,6020,4063846149919,EAN-NO-DISPONIBLE,Cybex Priam Bolso Cambiador Shopper,CYBEX,Moombs,cybex spring blossom Bolso cambiador,Cybex,Pasear,179.95,149.95,FALLBACK_ALGORITHM,0.55,54.6,low,✓ Ready for sequential cascade matching; name_sem:0.43; brand:exact; category:cross-dept; sale_relax; price:within-18%; cross_dept,43.1,100,0,87,18.2,2025-09-03T07:02:16.804Z
19,26,4063846149919,EAN-NO-DISPONIBLE,Cybex Priam Bolso Cambiador Shopper,CYBEX,Moombs,Bolso Cambiador Cybex Petticoat by Jeremy Scott,Cybex,Comer,179.95,159.95,FALLBACK_ALGORITHM,0.52,51.9,low,✓ Ready for sequential cascade matching; name_sem:0.34; brand:exact; category:cross-dept; sale_relax; price:within-12%; cross_dept,33.8,100,0,100,11.8,2025-09-03T07:02:16.806Z
25,3735,8717447079798,1387174470806,BGB BUGABOO BEE5 CHASIS ALU,BUGABOO,All,Bugaboo cameleon 3 chasis,Bugaboo,Pasear,275.17,259.95,FALLBACK_ALGORITHM,0.5,50.4,low,✓ Ready for sequential cascade matching; name_sem:0.31; brand:exact; category:cross-dept; sale_relax; price:within-6%; cross_dept,30.7,100,0,100,5.7,2025-09-03T07:02:25.159Z
26,7218,8717447077466,EAN-NO-DISPONIBLE,BGB BUGABOO FOX/DRAGONFLY FUNDAS DEL MANILLAR NEGRO,BUGABOO,All,Bugaboo donkey recambio de las fundas del manillar,Bugaboo,Recambios,28.88,25,FALLBACK_ALGORITHM,0.52,52.1,low,✓ Ready for sequential cascade matching; name_sem:0.34; brand:exact; category:cross-dept; sale_relax; price:within-14%; cross_dept,34.3,100,0,100,14.4,2025-09-03T07:02:26.503Z
28,4692,8717447105237,1387174470991,BGB BUGABOO CAMELEON³PLUS ESTRUCTURA DE SILLA ALU,BUGABOO,All,bugaboo fox Estructura de silla y capazo,Bugaboo,Dormir,125.58,135,FALLBACK_ALGORITHM,0.54,54.1,low,✓ Ready for sequential cascade matching; name_sem:0.38; brand:exact; category:cross-dept; sale_relax; price:within-7%; cross_dept,38.3,100,0,100,7.2,2025-09-03T07:02:29.941Z
28,4005,8717447105237,1387174471052,BGB BUGABOO CAMELEON³PLUS ESTRUCTURA DE SILLA ALU,BUGABOO,All,bugaboo cameleon 3 PLUS estructura de silla y capazo,Bugaboo,Pasear,125.58,15.5,FALLBACK_ALGORITHM,0.53,52.6,low,✓ Ready for sequential cascade matching; name_sem:0.59; brand:exact; category:cross-dept; sale_relax; price:diff-156%; cross_dept,59.1,100,0,20,156.1,2025-09-03T07:02:29.943Z
28,769,8717447105237,1387174471052,BGB BUGABOO CAMELEON³PLUS ESTRUCTURA DE SILLA ALU,BUGABOO,All,Estructura de Silla Bugaboo Cameleon 3 Plus,BUGABOO,Pasear,125.58,8.95,FALLBACK_ALGORITHM,0.52,51.9,low,✓ Ready for sequential cascade matching; name_sem:0.58; brand:exact; category:cross-dept; sale_relax; price:diff-173%; cross_dept,57.8,100,0,20,173.4,2025-09-03T07:02:29.944Z
28,5285,8717447105237,EAN-NO-DISPONIBLE,BGB BUGABOO CAMELEON³PLUS ESTRUCTURA DE SILLA ALU,BUGABOO,All,Bugaboo Bee 6 estructura de silla,Bugaboo,Pasear,125.58,159,FALLBACK_ALGORITHM,0.51,51.3,low,✓ Ready for sequential cascade matching; name_sem:0.43; brand:exact; category:cross-dept; sale_relax; price:within-23%; cross_dept,42.9,100,0,66,23.5,2025-09-03T07:02:29.945Z
28,3544,8717447105237,1387174471050,BGB BUGABOO CAMELEON³PLUS ESTRUCTURA DE SILLA ALU,BUGABOO,All,bugaboo cameleon 3 funda de silla,Bugaboo,Accesorios cochecitos,125.58,99.95,FALLBACK_ALGORITHM,0.51,51.3,low,✓ Ready for sequential cascade matching; name_sem:0.42; brand:exact; category:cross-dept; sale_relax; price:within-23%; cross_dept,41.9,100,0,69,22.7,2025-09-03T07:02:29.945Z
28,5297,8717447105237,EAN-NO-DISPONIBLE,BGB BUGABOO CAMELEON³PLUS ESTRUCTURA DE SILLA ALU,BUGABOO,All,Bugaboo Fox 5 botón de liberación de la estructura de silla,Bugaboo,Recambios,125.58,118.95,FALLBACK_ALGORITHM,0.51,51,low,✓ Ready for sequential cascade matching; name_sem:0.32; brand:exact; category:cross-dept; sale_relax; price:within-5%; cross_dept,31.9,100,0,100,5.4,2025-09-03T07:02:29.946Z
30,550,8717447211150,1387174474925,BGB BASE BUGABOO DONKEY 5 NEGRO/GRIS MELANGE,BUGABOO,All,Capota Bugaboo Donkey 5,BUGABOO,Pasear,1057.07,1199,FALLBACK_ALGORITHM,0.51,51.2,low,✓ Ready for sequential cascade matching; name_sem:0.32; brand:exact; category:cross-dept; sale_relax; price:within-13%; cross_dept,32.4,100,0,100,12.6,2025-09-03T07:02:33.223Z
31,2307,8717447371793,1387174473717,BGB BUGABOO DRAGONFLY PACK DE FUNDAS DE CAPAZO GRIS MELANGE,BUGABOO,All,Bugaboo Dragonfly Pack de Fundas de Capazo,Bugaboo,Dormir,95,125,FALLBACK_ALGORITHM,0.55,55,low,✓ Ready for sequential cascade matching; name_sem:0.67; brand:exact; category:cross-dept; sale_relax; price:within-27%; cross_dept; cross_dept_cap_55,66.6,100,0,51,27.3,2025-09-03T07:02:35.097Z
32,221,8717447217954,1387174472179,BGB FUNDA DE SILLA BUGABOO DRAGONFLY GRIS MELANGE,BUGABOO,All,Bugaboo Dragonfly Funda de Silla,Bugaboo,Pasear,57.81,69.95,FALLBACK_ALGORITHM,0.55,55,low,✓ Ready for sequential cascade matching; name_sem:0.55; brand:exact; category:cross-dept; sale_relax; price:within-19%; cross_dept; cross_dept_cap_55,55.4,100,0,84,19,2025-09-03T07:02:37.187Z
32,447,8717447217954,,BGB FUNDA DE SILLA BUGABOO DRAGONFLY GRIS MELANGE,BUGABOO,All,Cochecito 2 Piezas Bugaboo Dragonfly Gris Melange,Bugaboo,Pasear,57.81,69,FALLBACK_ALGORITHM,0.55,54.7,low,✓ Ready for sequential cascade matching; name_sem:0.43; brand:exact; category:cross-dept; sale_relax; price:within-18%; cross_dept,42.7,100,0,89,17.6,2025-09-03T07:02:37.192Z
32,5023,8717447217954,1387174471944,BGB FUNDA DE SILLA BUGABOO DRAGONFLY GRIS MELANGE,BUGABOO,All,Bugaboo Funda de silla para Donkey,Bugaboo,Pasear,57.81,61,FALLBACK_ALGORITHM,0.54,54.2,low,✓ Ready for sequential cascade matching; name_sem:0.38; brand:exact; category:cross-dept; sale_relax; price:within-5%; cross_dept,38.4,100,0,100,5.4,2025-09-03T07:02:37.196Z
32,1606,8717447217954,717447578321,BGB FUNDA DE SILLA BUGABOO DRAGONFLY GRIS MELANGE,BUGABOO,All,Funda de Silla Bugaboo Fox 5 Renew,Bugaboo,Pasear,57.81,49.95,FALLBACK_ALGORITHM,0.54,53.9,low,✓ Ready for sequential cascade matching; name_sem:0.38; brand:exact; category:cross-dept; sale_relax; price:within-15%; cross_dept,37.8,100,0,100,14.6,2025-09-03T07:02:37.198Z
32,666,8717447217954,EAN-NO-DISPONIBLE,BGB FUNDA DE SILLA BUGABOO DRAGONFLY GRIS MELANGE,BUGABOO,All,Silla de Paseo Bugaboo Dragonfly Desert Taupe,Bugaboo,Pasear,57.81,54,FALLBACK_ALGORITHM,0.54,53.5,low,✓ Ready for sequential cascade matching; name_sem:0.37; brand:exact; category:cross-dept; sale_relax; price:within-7%; cross_dept,37,100,0,100,6.8,2025-09-03T07:02:37.200Z
32,3801,8717447217954,1387174475392,BGB FUNDA DE SILLA BUGABOO DRAGONFLY GRIS MELANGE,BUGABOO,All,Bugaboo Fox 5 funda de silla,Bugaboo,Recambios,57.81,49.95,FALLBACK_ALGORITHM,0.53,52.6,low,✓ Ready for sequential cascade matching; name_sem:0.35; brand:exact; category:cross-dept; sale_relax; price:within-15%; cross_dept,35.3,100,0,100,14.6,2025-09-03T07:02:37.203Z
